Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,63.52,3.97,143,15,3
bloom-350m-german,ADP_BN_S_r16,62.21,3.92,115,25,3
