Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.4,3.96,140,15,4
bloom-350m-german,ADP_BN_S_r16,61.39,3.91,137,14,3
