Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,63.31,3.94,142,16,3
bloom-350m-german,ADP_Comp++_r16_n64_rk8,56.61,3.88,123,15,2
