Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.56,3.92,140,16,3
bloom-350m-german,ADP_BN_S_r16,63.64,3.98,113,27,4
