Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,59.37,3.93,144,15,3
bloom-350m-german,ADP_BN_S_r16,67.16,4.06,127,19,3
