Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.07,3.89,138,16,5
bloom-350m-german,ADP_BN_S_r16,62.61,3.93,117,23,3
