Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,13.06,29.14,71.69
german-gpt2,ADP_BN_LN_r4,2.64,30.35,71.81
german-gpt2,ADP_BN_LN_r8,1.34,27.98,63.45
german-gpt2,ADP_BN_LN_r16,0.69,27.96,58.22
german-gpt2,ADP_BN_LN_r32,0.36,27.53,53.05
