Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
bloom-350m-german,ORIG,100.0,26.83,23.32
bloom-350m-german,ADP_Comp++_r16_n64_rk8,0.1,26.73,23.32
