Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,8.31,28.07,50.84
german-gpt2,ADP_BN_LN_r4,1.68,28.99,47.61
german-gpt2,ADP_BN_LN_r8,0.85,28.61,44.79
german-gpt2,ADP_BN_LN_r16,0.44,30.36,44.9
german-gpt2,ADP_BN_LN_r32,0.23,29.4,41.3
