Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
german-gpt2,ORIG,71.4,3.65,191,78,13
german-gpt2,FT,65.35,4.18,163,75,12
german-gpt2,ADP_BN_LN_r0_8,70.8,4.12,147,7,11
german-gpt2,ADP_BN_LN_r4,66.07,4.16,137,7,15
german-gpt2,ADP_BN_LN_r8,70.54,4.07,161,9,15
german-gpt2,ADP_BN_LN_r16,65.15,4.13,130,5,19
german-gpt2,ADP_BN_LN_r32,66.61,4.05,152,18,12
