Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.44,3.89,142,16,5
bloom-350m-german,ADP_BN_S_r16,64.89,3.88,119,17,3
