Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,11.88,27.11,63.42
german-gpt2,ADP_BN_LN_r4,2.4,27.82,60.81
german-gpt2,ADP_BN_LN_r8,1.22,27.43,56.85
german-gpt2,ADP_BN_LN_r16,0.62,27.42,53.12
german-gpt2,ADP_BN_LN_r32,0.33,26.3,48.07
