Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,3.56,33.19,32.27
german-gpt2,ADP_BN_LN_r4,0.72,33.36,32.31
german-gpt2,ADP_BN_LN_r8,0.36,32.83,32.17
german-gpt2,ADP_BN_LN_r16,0.19,34.05,32.69
german-gpt2,ADP_BN_LN_r32,0.1,34.3,31.63
