Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,59.94,3.98,141,16,3
bloom-350m-german,ADP_BN_S_r16,57.94,3.89,137,16,2
