Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,62.83,3.91,137,16,4
bloom-350m-german,ADP_BN_S_r16,65.39,4.0,112,25,2
