Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,59.61,3.92,143,14,4
bloom-350m-german,ADP_BN_S_r16,63.78,4.04,120,18,2
