Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.42,3.92,134,15,4
bloom-350m-german,ADP_Comp++_r16_n64_rk8,59.76,3.92,133,14,4
