Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,61.52,3.96,141,15,3
bloom-350m-german,ADP_Comp++_r16_n64_rk8,61.71,3.94,127,16,4
