Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,59.57,3.96,140,15,3
bloom-350m-german,ADP_BN_S_r16,65.24,4.01,112,31,4
