Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,61.72,3.85,141,16,3
bloom-350m-german,ADP_Comp++_r16_n64_rk8,60.08,3.95,131,18,0
