Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,4.75,30.17,33.7
german-gpt2,ADP_BN_LN_r4,0.96,30.97,33.72
german-gpt2,ADP_BN_LN_r8,0.49,30.61,33.64
german-gpt2,ADP_BN_LN_r16,0.25,31.52,33.85
german-gpt2,ADP_BN_LN_r32,0.13,32.33,33.32
