Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.65,3.93,144,15,4
bloom-350m-german,ADP_BN_S_r16,66.53,3.98,119,38,2
