Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,61.79,3.97,134,15,4
bloom-350m-german,ADP_BN_S_r16,64.82,4.02,117,34,6
