Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,62.25,3.94,137,15,3
bloom-350m-german,ADP_Comp++_r16_n64_rk8,63.71,3.96,126,17,3
