Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,60.87,3.95,140,16,4
bloom-350m-german,ADP_BN_S_r16,63.17,3.99,119,28,1
