Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,62.74,3.95,146,15,3
bloom-350m-german,ADP_Comp++_r16_n64_rk8,62.05,3.89,131,13,2
