Model Name,Source | Target,Embedding Layer,Attention Layer 1,Attention Layer 2,Attention Layer 3,Attention Layer 4,Attention Layer 5,Attention Layer 6,Attention Layer 7,Attention Layer 8,Attention Layer 9,Attention Layer 10,Attention Layer 11,Attention Layer 12,Attention Layer 13,Attention Layer 14,Attention Layer 15,Attention Layer 16,Attention Layer 17,Attention Layer 18,Attention Layer 19,Attention Layer 20,Attention Layer 21,Attention Layer 22,Attention Layer 23,Attention Layer 24
bloom-350m-german,ORIG | ADP_Comp++_r16_n64_rk8,1.0,0.99965119,0.99896729,0.99912918,0.99964416,0.99977154,0.99981016,0.9998073,0.99983114,0.99985504,0.99983424,0.99984139,0.99982685,0.999816,0.9998098,0.99982417,0.99981028,0.99980891,0.99977475,0.99969012,0.99945623,0.99927485,0.99886113,0.99872035,0.99473828
