Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,61.46,3.91,137,14,4
bloom-350m-german,ADP_BN_S_r16,56.41,3.88,119,17,3
