Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,9.5,27.15,54.97
german-gpt2,ADP_BN_LN_r4,1.92,28.06,52.02
german-gpt2,ADP_BN_LN_r8,0.97,27.86,49.86
german-gpt2,ADP_BN_LN_r16,0.5,28.01,47.37
german-gpt2,ADP_BN_LN_r32,0.26,27.96,44.77
