Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_PFX_b96_p30,1.51,37.45,67.39
german-gpt2,ADP_PFX_b192_p30,3.0,36.93,70.14
german-gpt2,ADP_PFX_b192_p60,3.01,37.41,69.49
