Model Name,Tuning Method,Average FRE,Average Word Log Frequency,Number of Sentences,Number of Newlines,Number of Errors
bloom-350m-german,ORIG,58.4,3.95,142,15,3
bloom-350m-german,ADP_BN_S_r16,63.91,4.03,117,27,4
