Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,2.38,37.57,31.65
german-gpt2,ADP_BN_LN_r4,0.48,37.62,31.78
german-gpt2,ADP_BN_LN_r8,0.24,36.65,31.46
german-gpt2,ADP_BN_LN_r16,0.12,37.66,31.93
german-gpt2,ADP_BN_LN_r32,0.07,37.63,30.9
