Model Name,Tuning Method,%Parameter,PPL Simple Text,PPL Normal Text
german-gpt2,ORIG,100.0,47.19,31.49
german-gpt2,FT,100.0,31.81,77.76
german-gpt2,ADP_BN_LN_r0_8,10.69,27.54,59.59
german-gpt2,ADP_BN_LN_r4,2.16,27.33,54.83
german-gpt2,ADP_BN_LN_r8,1.09,27.85,51.74
german-gpt2,ADP_BN_LN_r16,0.56,28.43,51.14
german-gpt2,ADP_BN_LN_r32,0.29,27.39,46.45
